C:\Users\mayan\Desktop\Track2\IMG\center_2022_05_29_12_14_15_363.jpg,C:\Users\mayan\Desktop\Track2\IMG\left_2022_05_29_12_14_15_363.jpg,C:\Users\mayan\Desktop\Track2\IMG\right_2022_05_29_12_14_15_363.jpg,0,0,0,0.0001002377
C:\Users\mayan\Desktop\Track2\IMG\center_2022_05_29_12_14_15_430.jpg,C:\Users\mayan\Desktop\Track2\IMG\left_2022_05_29_12_14_15_430.jpg,C:\Users\mayan\Desktop\Track2\IMG\right_2022_05_29_12_14_15_430.jpg,0,0,0,9.522955E-05
C:\Users\mayan\Desktop\Track2\IMG\center_2022_05_29_12_14_15_500.jpg,C:\Users\mayan\Desktop\Track2\IMG\left_2022_05_29_12_14_15_500.jpg,C:\Users\mayan\Desktop\Track2\IMG\right_2022_05_29_12_14_15_500.jpg,0,0,0,9.468097E-05
C:\Users\mayan\Desktop\Track2\IMG\center_2022_05_29_12_14_15_569.jpg,C:\Users\mayan\Desktop\Track2\IMG\left_2022_05_29_12_14_15_569.jpg,C:\Users\mayan\Desktop\Track2\IMG\right_2022_05_29_12_14_15_569.jpg,0,0,0,0.0001022117
C:\Users\mayan\Desktop\Track2\IMG\center_2022_05_29_12_14_15_637.jpg,C:\Users\mayan\Desktop\Track2\IMG\left_2022_05_29_12_14_15_637.jpg,C:\Users\mayan\Desktop\Track2\IMG\right_2022_05_29_12_14_15_637.jpg,0,0,0,0.0001007006
C:\Users\mayan\Desktop\Track2\IMG\center_2022_05_29_12_14_15_705.jpg,C:\Users\mayan\Desktop\Track2\IMG\left_2022_05_29_12_14_15_705.jpg,C:\Users\mayan\Desktop\Track2\IMG\right_2022_05_29_12_14_15_705.jpg,0,0,0,9.644665E-05
C:\Users\mayan\Desktop\Track2\IMG\center_2022_05_29_12_14_15_772.jpg,C:\Users\mayan\Desktop\Track2\IMG\left_2022_05_29_12_14_15_772.jpg,C:\Users\mayan\Desktop\Track2\IMG\right_2022_05_29_12_14_15_772.jpg,0,0,0,9.821163E-05
C:\Users\mayan\Desktop\Track2\IMG\center_2022_05_29_12_14_15_840.jpg,C:\Users\mayan\Desktop\Track2\IMG\left_2022_05_29_12_14_15_840.jpg,C:\Users\mayan\Desktop\Track2\IMG\right_2022_05_29_12_14_15_840.jpg,0,0,0,9.863011E-05
C:\Users\mayan\Desktop\Track2\IMG\center_2022_05_29_12_14_15_910.jpg,C:\Users\mayan\Desktop\Track2\IMG\left_2022_05_29_12_14_15_910.jpg,C:\Users\mayan\Desktop\Track2\IMG\right_2022_05_29_12_14_15_910.jpg,0,0,0,9.50244E-05
C:\Users\mayan\Desktop\Track2\IMG\center_2022_05_29_12_14_15_981.jpg,C:\Users\mayan\Desktop\Track2\IMG\left_2022_05_29_12_14_15_981.jpg,C:\Users\mayan\Desktop\Track2\IMG\right_2022_05_29_12_14_15_981.jpg,0,0,0,9.859777E-05
C:\Users\mayan\Desktop\Track2\IMG\center_2022_05_29_12_14_16_050.jpg,C:\Users\mayan\Desktop\Track2\IMG\left_2022_05_29_12_14_16_050.jpg,C:\Users\mayan\Desktop\Track2\IMG\right_2022_05_29_12_14_16_050.jpg,0,0,0,0.00010033
C:\Users\mayan\Desktop\Track2\IMG\center_2022_05_29_12_14_16_116.jpg,C:\Users\mayan\Desktop\Track2\IMG\left_2022_05_29_12_14_16_116.jpg,C:\Users\mayan\Desktop\Track2\IMG\right_2022_05_29_12_14_16_116.jpg,0,0,0,0.0001030998
C:\Users\mayan\Desktop\Track2\IMG\center_2022_05_29_12_14_16_188.jpg,C:\Users\mayan\Desktop\Track2\IMG\left_2022_05_29_12_14_16_188.jpg,C:\Users\mayan\Desktop\Track2\IMG\right_2022_05_29_12_14_16_188.jpg,0,0,0,0.0001007763
C:\Users\mayan\Desktop\Track2\IMG\center_2022_05_29_12_14_16_254.jpg,C:\Users\mayan\Desktop\Track2\IMG\left_2022_05_29_12_14_16_254.jpg,C:\Users\mayan\Desktop\Track2\IMG\right_2022_05_29_12_14_16_254.jpg,0,0,0,9.540337E-05
C:\Users\mayan\Desktop\Track2\IMG\center_2022_05_29_12_14_16_325.jpg,C:\Users\mayan\Desktop\Track2\IMG\left_2022_05_29_12_14_16_325.jpg,C:\Users\mayan\Desktop\Track2\IMG\right_2022_05_29_12_14_16_325.jpg,0,0,0,9.590827E-05
C:\Users\mayan\Desktop\Track2\IMG\center_2022_05_29_12_14_16_393.jpg,C:\Users\mayan\Desktop\Track2\IMG\left_2022_05_29_12_14_16_393.jpg,C:\Users\mayan\Desktop\Track2\IMG\right_2022_05_29_12_14_16_393.jpg,0,0,0,9.340752E-05
C:\Users\mayan\Desktop\Track2\IMG\center_2022_05_29_12_14_16_459.jpg,C:\Users\mayan\Desktop\Track2\IMG\left_2022_05_29_12_14_16_459.jpg,C:\Users\mayan\Desktop\Track2\IMG\right_2022_05_29_12_14_16_459.jpg,0,0.1219632,0,0.01847529
C:\Users\mayan\Desktop\Track2\IMG\center_2022_05_29_12_14_16_530.jpg,C:\Users\mayan\Desktop\Track2\IMG\left_2022_05_29_12_14_16_530.jpg,C:\Users\mayan\Desktop\Track2\IMG\right_2022_05_29_12_14_16_530.jpg,0,0.3600717,0,0.2083538
C:\Users\mayan\Desktop\Track2\IMG\center_2022_05_29_12_14_16_598.jpg,C:\Users\mayan\Desktop\Track2\IMG\left_2022_05_29_12_14_16_598.jpg,C:\Users\mayan\Desktop\Track2\IMG\right_2022_05_29_12_14_16_598.jpg,0,0.5328535,0,0.4034802
C:\Users\mayan\Desktop\Track2\IMG\center_2022_05_29_12_14_16_668.jpg,C:\Users\mayan\Desktop\Track2\IMG\left_2022_05_29_12_14_16_668.jpg,C:\Users\mayan\Desktop\Track2\IMG\right_2022_05_29_12_14_16_668.jpg,0,0.7847372,0,0.9670982
C:\Users\mayan\Desktop\Track2\IMG\center_2022_05_29_12_14_16_740.jpg,C:\Users\mayan\Desktop\Track2\IMG\left_2022_05_29_12_14_16_740.jpg,C:\Users\mayan\Desktop\Track2\IMG\right_2022_05_29_12_14_16_740.jpg,0,0.9567038,0,1.517805
C:\Users\mayan\Desktop\Track2\IMG\center_2022_05_29_12_14_16_811.jpg,C:\Users\mayan\Desktop\Track2\IMG\left_2022_05_29_12_14_16_811.jpg,C:\Users\mayan\Desktop\Track2\IMG\right_2022_05_29_12_14_16_811.jpg,0,1,0,2.30276
C:\Users\mayan\Desktop\Track2\IMG\center_2022_05_29_12_14_16_878.jpg,C:\Users\mayan\Desktop\Track2\IMG\left_2022_05_29_12_14_16_878.jpg,C:\Users\mayan\Desktop\Track2\IMG\right_2022_05_29_12_14_16_878.jpg,0,1,0,2.921879
C:\Users\mayan\Desktop\Track2\IMG\center_2022_05_29_12_14_16_948.jpg,C:\Users\mayan\Desktop\Track2\IMG\left_2022_05_29_12_14_16_948.jpg,C:\Users\mayan\Desktop\Track2\IMG\right_2022_05_29_12_14_16_948.jpg,0,1,0,3.807633
